Gene	Cell Type	General Cell Type
GLYAT	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
FGGY	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
EPB41L3	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
RNF152	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
TRABD2B	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
MSRA	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
L3MBTL4	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
WDR72	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
ENPEP	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
NLGN1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
FKBP5	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
DLG2	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
NHS	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
PTH2R	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
C10orf11	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
FHIT	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
PKHD1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
BHMT	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
RP1-78O14.1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
PDE4D	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
BNC2	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
ZBTB16	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SYNE2	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
PLEKHA6	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
PDE7A	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
RALYL	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
KCNQ1OT1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
PTPRD	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
PLEKHA5	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
RORA	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SLC1A1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
INADL	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
GPHN	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
PCSK5	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
ADAMTS9-AS1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
PPARA	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
PRUNE2	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
ZBTB20	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
RP11-665G4.1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
HPN	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
GOLGA4	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
ERRFI1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
LINC01515	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
CDK14	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
CNTN4	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SNX29	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
TNS1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
FRMD4B	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
MAST4	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
UBE2E2	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
TTC28	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SAFB2	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
FRAS1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SORBS2	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SAMD5	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
C1orf186	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
MAP3K13	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SLIT2	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
FTX	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
INSR	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
GPX3	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
RERG	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SRRM2	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
AIG1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
CRYL1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
PARK2	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
WWOX	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
PDE8A	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
FRMD3	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
RABGAP1L	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
GPC6	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
ASTN2	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
PTPRM	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
PLXDC2	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
PPP1R21	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
CUX1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
RP11-96H19.1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
GALNT14	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
CGNL1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
CALD1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
DIP2C	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
NRP1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
WDR60	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
LL22NC03-2H8.5	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SETBP1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
ZHX3	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
GMDS-AS1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
RP1-60O19.1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
ANK3	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
TLN2	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
LUC7L3	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
NFIB	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
ULK4	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
PCLO	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
CRADD	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
ABLIM1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
IGF1R	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
PBX1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
DENND1A	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
P3H2	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
CLDN10	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
BCL2	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
PLEKHA7	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
PARD3	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SDK1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
PTPRJ	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
ANK2	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
NEAT1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
CSPP1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
FGD4	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
AGAP1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
ANKRD26	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
LINC01320	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
HIBCH	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
CNKSR3	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
TNRC6A	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
BCAS3	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
TFDP2	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
RBM25	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
KANK1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
MACROD2	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
FARP1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
RBM6	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
DANT2	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
NFIA	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
PAX8	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
AKAP13	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
MAPK10	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
FHOD3	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
THOC2	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
GALNT18	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
PTPRG	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
GOLGB1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
PNISR	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
VPS13A	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SCAPER	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
ZBTB38	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
VWA8	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
LPP	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
ARHGAP6	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
NEDD4L	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
PUM3	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
WDFY3	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
ANKIB1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
COL4A1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
ENOSF1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
CWF19L2	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SREK1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
EXOC4	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
TEAD1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
DPH6	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
C14orf105	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
CPM	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
KANSL1L	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
LINC00969	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
ASH1L	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
EHBP1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
MYO6	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
TNRC6B	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
PRRC2C	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
MBD5	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
C9orf3	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
UGT2B7	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SCMH1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
TACC1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
N4BP2L2	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SIPA1L1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SIK2	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SUMF1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
PCCA	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
RERE	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SMYD3	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
COMMD10	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SNHG14	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
CHD9	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
TRPS1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
RBM47	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SPAG9	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
PPFIBP1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
ANKRD11	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SRSF11	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
MGEA5	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
MLLT4	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
ARHGEF28	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
ZC3H13	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
C1orf186	Proximal Tubule Epithelial Cells (S2)	Epithelial
DLGAP1	Proximal Tubule Epithelial Cells (S2)	Epithelial
ITGB8	Proximal Tubule Epithelial Cells (S2)	Epithelial
CDH6	Proximal Tubule Epithelial Cells (S2)	Epithelial
TMEM178B	Proximal Tubule Epithelial Cells (S2)	Epithelial
ACSM2A	Proximal Tubule Epithelial Cells (S2)	Epithelial
ACSM3	Proximal Tubule Epithelial Cells (S2)	Epithelial
RP5-887A10.1	Proximal Tubule Epithelial Cells (S2)	Epithelial
CLSTN2	Proximal Tubule Epithelial Cells (S2)	Epithelial
ALPK2	Proximal Tubule Epithelial Cells (S2)	Epithelial
AKAP12	Proximal Tubule Epithelial Cells (S2)	Epithelial
CREB5	Proximal Tubule Epithelial Cells (S2)	Epithelial
PKHD1	Proximal Tubule Epithelial Cells (S2)	Epithelial
BICC1	Proximal Tubule Epithelial Cells (S2)	Epithelial
TPM1	Proximal Tubule Epithelial Cells (S2)	Epithelial
BNC2	Proximal Tubule Epithelial Cells (S2)	Epithelial
PTH2R	Proximal Tubule Epithelial Cells (S2)	Epithelial
ZBTB20	Proximal Tubule Epithelial Cells (S2)	Epithelial
PPFIBP1	Proximal Tubule Epithelial Cells (S2)	Epithelial
PARD3	Proximal Tubule Epithelial Cells (S2)	Epithelial
UGT2B7	Proximal Tubule Epithelial Cells (S2)	Epithelial
C10orf11	Proximal Tubule Epithelial Cells (S2)	Epithelial
TNIK	Proximal Tubule Epithelial Cells (S2)	Epithelial
NHS	Proximal Tubule Epithelial Cells (S2)	Epithelial
PRUNE2	Proximal Tubule Epithelial Cells (S2)	Epithelial
SLC17A1	Proximal Tubule Epithelial Cells (S2)	Epithelial
TTC28	Proximal Tubule Epithelial Cells (S2)	Epithelial
BCL2	Proximal Tubule Epithelial Cells (S2)	Epithelial
DCDC2	Proximal Tubule Epithelial Cells (S2)	Epithelial
PTPRD	Proximal Tubule Epithelial Cells (S2)	Epithelial
OXR1	Proximal Tubule Epithelial Cells (S2)	Epithelial
SEMA5A	Proximal Tubule Epithelial Cells (S2)	Epithelial
SDK1	Proximal Tubule Epithelial Cells (S2)	Epithelial
RERG	Proximal Tubule Epithelial Cells (S2)	Epithelial
LRP2	Proximal Tubule Epithelial Cells (S2)	Epithelial
GPC6	Proximal Tubule Epithelial Cells (S2)	Epithelial
AGBL4	Proximal Tubule Epithelial Cells (S2)	Epithelial
PDE4D	Proximal Tubule Epithelial Cells (S2)	Epithelial
NRG3	Proximal Tubule Epithelial Cells (S2)	Epithelial
LINC01320	Proximal Tubule Epithelial Cells (S2)	Epithelial
NOX4	Proximal Tubule Epithelial Cells (S2)	Epithelial
ACSM2B	Proximal Tubule Epithelial Cells (S2)	Epithelial
PDE7A	Proximal Tubule Epithelial Cells (S2)	Epithelial
SORBS2	Proximal Tubule Epithelial Cells (S2)	Epithelial
MACC1	Proximal Tubule Epithelial Cells (S2)	Epithelial
KLF6	Proximal Tubule Epithelial Cells (S2)	Epithelial
MAML2	Proximal Tubule Epithelial Cells (S2)	Epithelial
STOX2	Proximal Tubule Epithelial Cells (S2)	Epithelial
ADAMTS9-AS1	Proximal Tubule Epithelial Cells (S2)	Epithelial
NLGN1	Proximal Tubule Epithelial Cells (S2)	Epithelial
FHOD3	Proximal Tubule Epithelial Cells (S2)	Epithelial
SLC2A9	Proximal Tubule Epithelial Cells (S2)	Epithelial
GALNT14	Proximal Tubule Epithelial Cells (S2)	Epithelial
CLIC4	Proximal Tubule Epithelial Cells (S2)	Epithelial
RBMS3	Proximal Tubule Epithelial Cells (S2)	Epithelial
KCNJ15	Proximal Tubule Epithelial Cells (S2)	Epithelial
NEAT1	Proximal Tubule Epithelial Cells (S2)	Epithelial
CNKSR3	Proximal Tubule Epithelial Cells (S2)	Epithelial
C14orf105	Proximal Tubule Epithelial Cells (S2)	Epithelial
CALD1	Proximal Tubule Epithelial Cells (S2)	Epithelial
DGKH	Proximal Tubule Epithelial Cells (S2)	Epithelial
RHOBTB1	Proximal Tubule Epithelial Cells (S2)	Epithelial
FAM134B	Proximal Tubule Epithelial Cells (S2)	Epithelial
PTPRM	Proximal Tubule Epithelial Cells (S2)	Epithelial
PTPRK	Proximal Tubule Epithelial Cells (S2)	Epithelial
LPP	Proximal Tubule Epithelial Cells (S2)	Epithelial
UBE2E2	Proximal Tubule Epithelial Cells (S2)	Epithelial
GLIS3	Proximal Tubule Epithelial Cells (S2)	Epithelial
L3MBTL4	Proximal Tubule Epithelial Cells (S2)	Epithelial
SPATS2L	Proximal Tubule Epithelial Cells (S2)	Epithelial
PLXDC2	Proximal Tubule Epithelial Cells (S2)	Epithelial
ZBTB16	Proximal Tubule Epithelial Cells (S2)	Epithelial
GULP1	Proximal Tubule Epithelial Cells (S2)	Epithelial
FHIT	Proximal Tubule Epithelial Cells (S2)	Epithelial
ARHGAP26	Proximal Tubule Epithelial Cells (S2)	Epithelial
SAMD4A	Proximal Tubule Epithelial Cells (S2)	Epithelial
SLC16A12	Proximal Tubule Epithelial Cells (S2)	Epithelial
ANK3	Proximal Tubule Epithelial Cells (S2)	Epithelial
SCMH1	Proximal Tubule Epithelial Cells (S2)	Epithelial
FARP1	Proximal Tubule Epithelial Cells (S2)	Epithelial
WWC1	Proximal Tubule Epithelial Cells (S2)	Epithelial
TRIO	Proximal Tubule Epithelial Cells (S2)	Epithelial
SYNE2	Proximal Tubule Epithelial Cells (S2)	Epithelial
NRP1	Proximal Tubule Epithelial Cells (S2)	Epithelial
PLEKHA5	Proximal Tubule Epithelial Cells (S2)	Epithelial
AC012593.1	Proximal Tubule Epithelial Cells (S2)	Epithelial
NFIA	Proximal Tubule Epithelial Cells (S2)	Epithelial
CNTN4	Proximal Tubule Epithelial Cells (S2)	Epithelial
RBPMS	Proximal Tubule Epithelial Cells (S2)	Epithelial
NCKAP5	Proximal Tubule Epithelial Cells (S2)	Epithelial
FMNL2	Proximal Tubule Epithelial Cells (S2)	Epithelial
SOX6	Proximal Tubule Epithelial Cells (S2)	Epithelial
PICALM	Proximal Tubule Epithelial Cells (S2)	Epithelial
TRABD2B	Proximal Tubule Epithelial Cells (S2)	Epithelial
COL4A2	Proximal Tubule Epithelial Cells (S2)	Epithelial
FTX	Proximal Tubule Epithelial Cells (S2)	Epithelial
ITSN1	Proximal Tubule Epithelial Cells (S2)	Epithelial
FOXP2	Proximal Tubule Epithelial Cells (S2)	Epithelial
SLC13A1	Proximal Tubule Epithelial Cells (S2)	Epithelial
PAX8	Proximal Tubule Epithelial Cells (S2)	Epithelial
AGAP1	Proximal Tubule Epithelial Cells (S2)	Epithelial
FKBP5	Proximal Tubule Epithelial Cells (S2)	Epithelial
SIPA1L1	Proximal Tubule Epithelial Cells (S2)	Epithelial
NFIB	Proximal Tubule Epithelial Cells (S2)	Epithelial
SSH2	Proximal Tubule Epithelial Cells (S2)	Epithelial
PLCL1	Proximal Tubule Epithelial Cells (S2)	Epithelial
RORA	Proximal Tubule Epithelial Cells (S2)	Epithelial
EPS8	Proximal Tubule Epithelial Cells (S2)	Epithelial
DLG2	Proximal Tubule Epithelial Cells (S2)	Epithelial
EXT1	Proximal Tubule Epithelial Cells (S2)	Epithelial
PAM	Proximal Tubule Epithelial Cells (S2)	Epithelial
MAPK10	Proximal Tubule Epithelial Cells (S2)	Epithelial
C9orf3	Proximal Tubule Epithelial Cells (S2)	Epithelial
EXOC4	Proximal Tubule Epithelial Cells (S2)	Epithelial
COL4A1	Proximal Tubule Epithelial Cells (S2)	Epithelial
WWOX	Proximal Tubule Epithelial Cells (S2)	Epithelial
MBD5	Proximal Tubule Epithelial Cells (S2)	Epithelial
GMDS-AS1	Proximal Tubule Epithelial Cells (S2)	Epithelial
NTN4	Proximal Tubule Epithelial Cells (S2)	Epithelial
WDFY3	Proximal Tubule Epithelial Cells (S2)	Epithelial
KANSL1L	Proximal Tubule Epithelial Cells (S2)	Epithelial
KANK1	Proximal Tubule Epithelial Cells (S2)	Epithelial
RNF213	Proximal Tubule Epithelial Cells (S2)	Epithelial
ABLIM1	Proximal Tubule Epithelial Cells (S2)	Epithelial
ARHGAP6	Proximal Tubule Epithelial Cells (S2)	Epithelial
MAST4	Proximal Tubule Epithelial Cells (S2)	Epithelial
PTPRG	Proximal Tubule Epithelial Cells (S2)	Epithelial
RP1-60O19.1	Proximal Tubule Epithelial Cells (S2)	Epithelial
SVIL	Proximal Tubule Epithelial Cells (S2)	Epithelial
PARK2	Proximal Tubule Epithelial Cells (S2)	Epithelial
PDLIM5	Proximal Tubule Epithelial Cells (S2)	Epithelial
RASAL2	Proximal Tubule Epithelial Cells (S2)	Epithelial
ZBTB38	Proximal Tubule Epithelial Cells (S2)	Epithelial
COL18A1	Proximal Tubule Epithelial Cells (S2)	Epithelial
DNAH14	Proximal Tubule Epithelial Cells (S2)	Epithelial
CDK14	Proximal Tubule Epithelial Cells (S2)	Epithelial
TCF12	Proximal Tubule Epithelial Cells (S2)	Epithelial
RAPGEF2	Proximal Tubule Epithelial Cells (S2)	Epithelial
CUX1	Proximal Tubule Epithelial Cells (S2)	Epithelial
PARD3B	Proximal Tubule Epithelial Cells (S2)	Epithelial
ITGAV	Proximal Tubule Epithelial Cells (S2)	Epithelial
INADL	Proximal Tubule Epithelial Cells (S2)	Epithelial
PDE8A	Proximal Tubule Epithelial Cells (S2)	Epithelial
EPB41L4A	Proximal Tubule Epithelial Cells (S2)	Epithelial
P3H2	Proximal Tubule Epithelial Cells (S2)	Epithelial
ARGLU1	Proximal Tubule Epithelial Cells (S2)	Epithelial
ANKIB1	Proximal Tubule Epithelial Cells (S2)	Epithelial
KLF12	Proximal Tubule Epithelial Cells (S2)	Epithelial
MEF2A	Proximal Tubule Epithelial Cells (S2)	Epithelial
RERE	Proximal Tubule Epithelial Cells (S2)	Epithelial
PPP1R9A	Proximal Tubule Epithelial Cells (S2)	Epithelial
SBF2	Proximal Tubule Epithelial Cells (S2)	Epithelial
BDP1	Proximal Tubule Epithelial Cells (S2)	Epithelial
AKAP13	Proximal Tubule Epithelial Cells (S2)	Epithelial
KANSL1	Proximal Tubule Epithelial Cells (S2)	Epithelial
DLG1	Proximal Tubule Epithelial Cells (S2)	Epithelial
CDKAL1	Proximal Tubule Epithelial Cells (S2)	Epithelial
DANT2	Proximal Tubule Epithelial Cells (S2)	Epithelial
CAMKMT	Proximal Tubule Epithelial Cells (S2)	Epithelial
ZFAND3	Proximal Tubule Epithelial Cells (S2)	Epithelial
ERRFI1	Proximal Tubule Epithelial Cells (S2)	Epithelial
IGF1R	Proximal Tubule Epithelial Cells (S2)	Epithelial
NBEA	Proximal Tubule Epithelial Cells (S2)	Epithelial
CRIM1	Proximal Tubule Epithelial Cells (S2)	Epithelial
GNAQ	Proximal Tubule Epithelial Cells (S2)	Epithelial
SHROOM3	Proximal Tubule Epithelial Cells (S2)	Epithelial
FAF1	Proximal Tubule Epithelial Cells (S2)	Epithelial
PTK2	Proximal Tubule Epithelial Cells (S2)	Epithelial
KIAA1217	Proximal Tubule Epithelial Cells (S2)	Epithelial
DIP2C	Proximal Tubule Epithelial Cells (S2)	Epithelial
ANKRD26	Proximal Tubule Epithelial Cells (S2)	Epithelial
SUMF1	Proximal Tubule Epithelial Cells (S2)	Epithelial
EIF4G3	Proximal Tubule Epithelial Cells (S2)	Epithelial
GLS	Proximal Tubule Epithelial Cells (S2)	Epithelial
WDR60	Proximal Tubule Epithelial Cells (S2)	Epithelial
VPS13A	Proximal Tubule Epithelial Cells (S2)	Epithelial
SASH1	Proximal Tubule Epithelial Cells (S2)	Epithelial
VWA8	Proximal Tubule Epithelial Cells (S2)	Epithelial
BRE	Proximal Tubule Epithelial Cells (S2)	Epithelial
AL133247.2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
GRIN2B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
DRD3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PRSS51	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
AC012512.1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RNA5SP475	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RP1-267D11.6	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RRH	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
KLHDC8A	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ADAMTS8	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RP11-382A20.4	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
LINC00635	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ANK1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RP11-736N17.8	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
LINC01255	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RP11-286M16.1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
DNAH2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
BTNL10	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
AC002463.3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
GACAT3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CTB-171A8.1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CSMD2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
GNGT2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CTD-2378E12.1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RP11-1157N2__B.2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
GABBR2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
LINC00402	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
IL36B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
LINGO1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RP11-282I1.1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
